Travel;Anti-squat;
0;1.360;
10;1.428;
20;1.495;
30;1.561;
40;1.627;
50;1.691;
60;1.755;
70;1.817;
80;1.879;
90;1.940;
100;2.000;
110;2.059;
120;2.117;
130;2.174;
140;2.231;
150;2.286;
160;2.340;
170;2.393;
180;2.446;
