Travel;Axlepath_X;
0;0.000;
10;-1.484;
20;-2.766;
30;-3.848;
40;-4.730;
50;-5.414;
60;-5.900;
70;-6.189;
80;-6.281;
90;-6.175;
100;-5.873;
110;-5.373;
120;-4.674;
130;-3.776;
140;-2.677;
150;-1.376;
160;0.130;
170;1.842;
180;3.762;
