Travel;Leverage_Ratio;
0;3.179;
10;3.131;
20;3.084;
30;3.038;
40;2.992;
50;2.948;
60;2.905;
70;2.862;
80;2.820;
90;2.779;
100;2.738;
110;2.698;
120;2.658;
130;2.619;
140;2.581;
150;2.543;
160;2.505;
170;2.467;
180;2.430;
