Travel;Axle_Path_radius;
0;624.930;
10;625.343;
20;625.716;
30;626.050;
40;626.346;
50;626.603;
60;626.821;
70;627.000;
80;627.140;
90;627.241;
100;627.303;
110;627.324;
120;627.306;
130;627.247;
140;627.146;
150;627.003;
160;626.817;
170;626.588;
180;626.313;
