Travel;Axle_Path_steepness;
0;99.067;
10;97.930;
20;96.795;
30;95.663;
40;94.533;
50;93.404;
60;92.275;
70;91.147;
80;90.019;
90;88.890;
100;87.759;
110;86.627;
120;85.493;
130;84.355;
140;83.215;
150;82.070;
160;80.922;
170;79.768;
180;78.608;
