Travel;Anti-squat;
-41;1.718;
-40;1.711;
-30;1.640;
-20;1.575;
-10;1.511;
0;1.450;
10;1.389;
20;1.329;
30;1.268;
40;1.207;
50;1.144;
60;1.081;
70;1.016;
80;0.950;
90;0.881;
100;0.811;
109;0.745;
