Travel;Shock_Compression;Gradient;
-41;0.000;0.323;
-40;0.323;0.323;
-30;3.578;0.328;
-20;6.886;0.334;
-10;10.251;0.339;
0;13.674;0.345;
10;17.157;0.351;
20;20.700;0.357;
30;24.302;0.363;
40;27.963;0.369;
50;31.682;0.375;
60;35.456;0.380;
70;39.284;0.385;
80;43.162;0.390;
90;47.087;0.395;
100;51.054;0.399;
109;54.657;0.402;
