Travel;Pedal-kickback;
-41;-3.268;
-40;-3.180;
-30;-2.324;
-20;-1.510;
-10;-0.736;
0;0.000;
10;0.699;
20;1.363;
30;1.991;
40;2.585;
50;3.144;
60;3.669;
70;4.160;
80;4.616;
90;5.037;
100;5.424;
109;5.741;
