Travel;Axle_Path_radius;
-41;1049.401;
-40;1039.103;
-30;954.789;
-20;893.444;
-10;845.918;
0;807.374;
10;775.010;
20;747.081;
30;722.445;
40;700.322;
50;680.157;
60;661.547;
70;644.190;
80;627.856;
90;612.366;
100;597.578;
109;584.774;
