Travel;Chain_Growth;
-41;-7.310;
-40;-7.125;
-30;-5.292;
-20;-3.496;
-10;-1.732;
0;0.000;
10;1.704;
20;3.380;
30;5.031;
40;6.657;
50;8.259;
60;9.838;
70;11.396;
80;12.931;
90;14.446;
100;15.940;
109;17.267;
