Travel;Anti-squat;
-41;1.208;
-40;1.204;
-30;1.169;
-20;1.135;
-10;1.103;
0;1.070;
10;1.039;
20;1.007;
30;0.975;
40;0.944;
50;0.912;
60;0.879;
70;0.847;
80;0.813;
90;0.780;
100;0.745;
109;0.713;
