Travel;Pedal-kickback;
-41;-10.002;
-40;-9.739;
-30;-7.161;
-20;-4.681;
-10;-2.296;
0;0.000;
10;2.208;
20;4.330;
30;6.369;
40;8.326;
50;10.201;
60;11.996;
70;13.712;
80;15.349;
90;16.906;
100;18.385;
109;19.649;
