Travel;Leverage_Ratio;
-41;3.099;
-40;3.095;
-30;3.048;
-20;2.998;
-10;2.947;
0;2.896;
10;2.846;
20;2.799;
30;2.753;
40;2.710;
50;2.669;
60;2.630;
70;2.595;
80;2.563;
90;2.534;
100;2.508;
109;2.488;
