Travel;Chain_Growth;
-41;-7.307;
-40;-7.122;
-30;-5.290;
-20;-3.494;
-10;-1.732;
0;0.000;
10;1.703;
20;3.379;
30;5.029;
40;6.654;
50;8.256;
60;9.835;
70;11.391;
80;12.926;
90;14.440;
100;15.934;
109;17.261;
