Travel;Frequency;
-41;2.014;
-40;2.010;
-30;1.965;
-20;1.938;
-10;1.928;
0;1.933;
10;1.953;
20;1.987;
30;2.036;
40;2.101;
50;2.184;
60;2.285;
70;2.407;
80;2.553;
90;2.729;
100;2.938;
109;3.162;
