Travel;Anti-rise;
-41;0.620;
-40;0.622;
-30;0.636;
-20;0.645;
-10;0.650;
0;0.652;
10;0.652;
20;0.651;
30;0.648;
40;0.645;
50;0.641;
60;0.638;
70;0.633;
80;0.629;
90;0.625;
100;0.621;
109;0.618;
