Travel;Pedal-kickback;
0;0.000;
10;1.145;
20;2.217;
30;3.216;
40;4.148;
50;5.014;
60;5.818;
70;6.563;
80;7.251;
90;7.888;
100;8.476;
110;9.018;
120;9.518;
130;9.979;
140;10.405;
150;10.799;
160;11.163;
170;11.500;
180;11.813;
190;12.103;
200;12.373;
210;12.623;
220;12.853;
