Travel;Leverage_Ratio;
0;3.674;
10;3.563;
20;3.463;
30;3.370;
40;3.286;
50;3.210;
60;3.140;
70;3.076;
80;3.018;
90;2.965;
100;2.917;
110;2.874;
120;2.834;
130;2.799;
140;2.767;
150;2.738;
160;2.712;
170;2.689;
180;2.668;
190;2.648;
200;2.629;
210;2.611;
220;2.593;
