Travel;Shock_Compression;Gradient;
0;0.000;0.272;
10;2.764;0.281;
20;5.612;0.289;
30;8.540;0.297;
40;11.545;0.304;
50;14.624;0.312;
60;17.775;0.319;
70;20.993;0.325;
80;24.276;0.331;
90;27.620;0.337;
100;31.020;0.343;
110;34.475;0.348;
120;37.979;0.353;
130;41.530;0.357;
140;45.124;0.361;
150;48.757;0.365;
160;52.426;0.369;
170;56.129;0.372;
180;59.863;0.375;
190;63.626;0.378;
200;67.416;0.380;
210;71.233;0.383;
220;75.076;0.386;
