Travel;Axle_Path_steepness;
0;101.426;
10;99.843;
20;98.278;
30;96.731;
40;95.203;
50;93.695;
60;92.209;
70;90.744;
80;89.302;
90;87.882;
100;86.484;
110;85.109;
120;83.756;
130;82.424;
140;81.112;
150;79.818;
160;78.540;
170;77.277;
180;76.025;
190;74.782;
200;73.544;
210;72.308;
220;71.070;
