Travel;Anti-squat;
0;1.664;
10;1.577;
20;1.491;
30;1.406;
40;1.324;
50;1.244;
60;1.167;
70;1.093;
80;1.022;
90;0.954;
100;0.891;
110;0.831;
120;0.775;
130;0.723;
140;0.675;
150;0.631;
160;0.591;
170;0.554;
180;0.519;
190;0.487;
200;0.457;
210;0.428;
220;0.398;
