Travel;Anti-squat;
0;1.973;
10;1.836;
20;1.701;
30;1.568;
40;1.439;
50;1.313;
60;1.192;
70;1.077;
80;0.966;
90;0.863;
100;0.765;
110;0.675;
120;0.592;
130;0.517;
140;0.449;
150;0.389;
160;0.335;
170;0.288;
180;0.246;
190;0.209;
200;0.175;
210;0.143;
220;0.112;
