Travel;Axlepath_X;
0;0.000;
10;-1.863;
20;-3.444;
30;-4.747;
40;-5.779;
50;-6.543;
60;-7.046;
70;-7.290;
80;-7.281;
90;-7.023;
100;-6.518;
110;-5.771;
120;-4.784;
130;-3.560;
140;-2.101;
150;-0.409;
160;1.514;
170;3.668;
180;6.053;
190;8.669;
200;11.517;
210;14.600;
220;17.922;
