Travel;Frequency;
0;1.352;
10;1.394;
20;1.435;
30;1.474;
40;1.512;
50;1.548;
60;1.582;
70;1.615;
80;1.646;
90;1.675;
100;1.703;
110;1.729;
120;1.753;
130;1.775;
140;1.795;
150;1.814;
160;1.831;
170;1.847;
180;1.862;
190;1.876;
200;1.889;
210;1.902;
220;1.916;
