Travel;Axle_Path_radius;
0;620.474;
10;618.693;
20;616.304;
30;613.326;
40;609.783;
50;605.703;
60;601.119;
70;596.067;
80;590.586;
90;584.718;
100;578.508;
110;572.000;
120;565.242;
130;558.278;
140;551.156;
150;543.919;
160;536.607;
170;529.261;
180;521.916;
190;514.602;
200;507.347;
210;500.172;
220;493.094;
