Travel;Pedal-kickback;
0;0.000;
10;0.705;
20;1.352;
30;1.943;
40;2.481;
50;2.967;
60;3.404;
70;3.796;
80;4.144;
90;4.453;
100;4.724;
110;4.962;
120;5.169;
130;5.347;
140;5.502;
150;5.634;
160;5.746;
170;5.842;
180;5.924;
190;5.992;
200;6.050;
210;6.097;
220;6.134;
