Travel;Chain_Growth;
0;0.000;
10;1.908;
20;3.750;
30;5.531;
40;7.253;
50;8.921;
60;10.539;
70;12.110;
80;13.639;
90;15.130;
100;16.587;
110;18.016;
120;19.419;
130;20.802;
140;22.169;
150;23.524;
160;24.870;
170;26.211;
180;27.551;
190;28.893;
200;30.238;
210;31.589;
220;32.948;
