Travel;Chain_Growth;
0;0.000;
10;1.900;
20;3.736;
30;5.509;
40;7.225;
50;8.886;
60;10.498;
70;12.063;
80;13.586;
90;15.072;
100;16.524;
110;17.947;
120;19.345;
130;20.723;
140;22.085;
150;23.435;
160;24.776;
170;26.113;
180;27.448;
190;28.785;
200;30.125;
210;31.472;
220;32.826;
