Travel;Anti-rise;
0;1.044;
10;1.015;
20;0.988;
30;0.963;
40;0.938;
50;0.915;
60;0.893;
70;0.873;
80;0.853;
90;0.835;
100;0.819;
110;0.803;
120;0.789;
130;0.775;
140;0.763;
150;0.752;
160;0.742;
170;0.732;
180;0.724;
190;0.716;
200;0.709;
210;0.702;
220;0.695;
