Travel;Axle_Path_radius;
0;502.863;
10;498.211;
20;493.517;
30;488.741;
40;483.833;
50;478.740;
60;473.394;
70;467.713;
80;461.591;
90;454.885;
100;447.398;
110;438.842;
120;428.774;
130;416.461;
140;400.553;
150;378.169;
160;341.166;
