Travel;Chain_Growth;
0;0.000;
10;1.773;
20;3.571;
30;5.389;
40;7.219;
50;9.055;
60;10.889;
70;12.713;
80;14.517;
90;16.288;
100;18.013;
110;19.672;
120;21.238;
130;22.672;
140;23.911;
150;24.837;
160;25.162;
