Travel;Pedal-kickback;
0;0.000;
10;2.613;
20;5.197;
30;7.743;
40;10.247;
50;12.701;
60;15.097;
70;17.426;
80;19.678;
90;21.839;
100;23.894;
110;25.821;
120;27.591;
130;29.160;
140;30.459;
150;31.354;
160;31.526;
