Travel;Anti-squat;
0;1.702;
10;1.771;
20;1.828;
30;1.870;
40;1.897;
50;1.906;
60;1.894;
70;1.859;
80;1.795;
90;1.695;
100;1.550;
110;1.342;
120;1.048;
130;0.619;
140;-0.039;
150;-1.159;
160;-3.603;
