Travel;Leverage_Ratio;
0;2.600;
10;2.585;
20;2.570;
30;2.556;
40;2.541;
50;2.525;
60;2.510;
70;2.494;
80;2.476;
90;2.458;
100;2.437;
110;2.414;
120;2.386;
130;2.351;
140;2.305;
150;2.233;
160;2.091;
