Travel;Axle_Path_steepness;
0;97.449;
10;96.347;
20;95.217;
30;94.055;
40;92.858;
50;91.622;
60;90.341;
70;89.007;
80;87.609;
90;86.132;
100;84.554;
110;82.841;
120;80.940;
130;78.756;
140;76.105;
150;72.549;
160;66.617;
