Travel;Chain_Growth;
0;0.000;
10;1.775;
20;3.576;
30;5.396;
40;7.228;
50;9.066;
60;10.903;
70;12.729;
80;14.535;
90;16.309;
100;18.036;
110;19.697;
120;21.265;
130;22.701;
140;23.941;
150;24.868;
160;25.193;
