Travel;Axlepath_X;
0;0.000;
10;-1.200;
20;-2.203;
30;-3.005;
40;-3.599;
50;-3.980;
60;-4.141;
70;-4.073;
80;-3.766;
90;-3.208;
100;-2.381;
110;-1.264;
120;0.175;
130;1.980;
140;4.225;
150;7.045;
160;10.765;
