Travel;Anti-rise;
0;1.157;
10;1.152;
20;1.146;
30;1.140;
40;1.134;
50;1.128;
60;1.121;
70;1.115;
80;1.109;
90;1.103;
100;1.098;
110;1.094;
120;1.092;
130;1.093;
140;1.101;
150;1.125;
160;1.197;
