Travel;Anti-squat;
0;1.226;
10;1.226;
20;1.222;
30;1.215;
40;1.205;
50;1.190;
60;1.171;
70;1.146;
80;1.115;
90;1.075;
100;1.026;
110;0.962;
120;0.879;
130;0.765;
140;0.600;
150;0.332;
160;-0.234;
