Travel;Shock_Compression;Gradient;
0;0.000;0.385;
10;3.858;0.387;
20;7.737;0.389;
30;11.638;0.391;
40;15.563;0.394;
50;19.510;0.396;
60;23.482;0.398;
70;27.479;0.401;
80;31.503;0.404;
90;35.556;0.407;
100;39.642;0.410;
110;43.765;0.414;
120;47.931;0.419;
130;52.151;0.425;
140;56.444;0.434;
150;60.847;0.448;
160;65.454;0.478;
