Travel;Pedal-kickback;
0;0.000;
10;0.726;
20;1.471;
30;2.229;
40;2.994;
50;3.758;
60;4.515;
70;5.255;
80;5.969;
90;6.645;
100;7.268;
110;7.820;
120;8.273;
130;8.589;
140;8.706;
150;8.507;
160;7.712;
