Travel;Frequency;
0;1.926;
10;1.937;
20;1.948;
30;1.959;
40;1.971;
50;1.983;
60;1.995;
70;2.008;
80;2.022;
90;2.037;
100;2.054;
110;2.074;
120;2.099;
130;2.129;
140;2.173;
150;2.243;
160;2.395;
