Travel;Leverage_Ratio;
0;3.324;
10;3.253;
20;3.183;
30;3.115;
40;3.048;
50;2.984;
60;2.921;
70;2.861;
80;2.803;
90;2.747;
100;2.693;
110;2.642;
120;2.593;
130;2.547;
140;2.503;
150;2.463;
160;2.425;
170;2.392;
178;2.368;
