Travel;Chain_Growth;
0;0.000;
10;1.085;
20;2.175;
30;3.271;
40;4.373;
50;5.480;
60;6.592;
70;7.710;
80;8.833;
90;9.961;
100;11.095;
110;12.235;
120;13.379;
130;14.530;
140;15.686;
150;16.847;
160;18.015;
170;19.188;
179;20.249;
