Travel;Pedal-kickback;
0;0.000;
10;0.101;
20;0.200;
30;0.295;
40;0.386;
50;0.473;
60;0.555;
70;0.633;
80;0.704;
90;0.770;
100;0.829;
110;0.881;
120;0.925;
130;0.961;
140;0.988;
150;1.007;
160;1.015;
170;1.013;
179;1.001;
