Travel;Axle_Path_steepness;
0;94.793;
10;93.546;
20;92.299;
30;91.054;
40;89.809;
50;88.564;
60;87.319;
70;86.072;
80;84.824;
90;83.573;
100;82.318;
110;81.060;
120;79.798;
130;78.531;
140;77.258;
150;75.979;
160;74.692;
170;73.397;
179;72.225;
