Travel;Pedal-kickback;
0;0.000;
10;1.863;
20;3.673;
30;5.428;
40;7.131;
50;8.781;
60;10.378;
70;11.923;
80;13.415;
90;14.856;
100;16.244;
110;17.580;
120;18.863;
130;20.094;
140;21.271;
150;22.395;
160;23.466;
170;24.481;
179;25.348;
