Travel;Anti-rise;
0;1.131;
10;1.113;
20;1.094;
30;1.076;
40;1.057;
50;1.038;
60;1.019;
70;1.000;
80;0.981;
90;0.961;
100;0.942;
110;0.922;
120;0.901;
130;0.880;
140;0.859;
150;0.838;
160;0.816;
170;0.793;
179;0.772;
