Travel;Frequency;
0;1.494;
10;1.527;
20;1.561;
30;1.595;
40;1.630;
50;1.665;
60;1.701;
70;1.736;
80;1.772;
90;1.809;
100;1.845;
110;1.880;
120;1.916;
130;1.951;
140;1.984;
150;2.017;
160;2.048;
170;2.077;
179;2.100;
