Travel;Axlepath_X;
0;0.000;
10;-0.718;
20;-1.218;
30;-1.499;
40;-1.564;
50;-1.411;
60;-1.041;
70;-0.453;
80;0.355;
90;1.382;
100;2.630;
110;4.102;
120;5.800;
130;7.725;
140;9.882;
150;12.272;
160;14.901;
170;17.772;
179;20.568;
