Travel;Anti-squat;
0;0.988;
10;0.971;
20;0.953;
30;0.935;
40;0.916;
50;0.897;
60;0.878;
70;0.858;
80;0.838;
90;0.817;
100;0.795;
110;0.773;
120;0.750;
130;0.726;
140;0.702;
150;0.676;
160;0.650;
170;0.622;
179;0.596;
