Travel;Chain_Growth;
0;0.000;
10;1.083;
20;2.172;
30;3.266;
40;4.365;
50;5.470;
60;6.581;
70;7.697;
80;8.818;
90;9.945;
100;11.077;
110;12.214;
120;13.358;
130;14.506;
140;15.660;
150;16.820;
160;17.986;
170;19.157;
179;20.217;
