Travel;Leverage_Ratio;
0;3.427;
10;3.315;
20;3.214;
30;3.123;
40;3.041;
50;2.966;
60;2.899;
70;2.839;
80;2.785;
90;2.737;
100;2.695;
110;2.657;
120;2.625;
130;2.597;
140;2.574;
150;2.556;
160;2.543;
170;2.535;
180;2.532;
190;2.535;
200;2.543;
206;2.549;
