Travel;Shock_Compression;Gradient;
0;0.000;0.292;
10;2.968;0.302;
20;6.032;0.311;
30;9.189;0.320;
40;12.435;0.329;
50;15.765;0.337;
60;19.176;0.345;
70;22.662;0.352;
80;26.218;0.359;
90;29.841;0.365;
100;33.523;0.371;
110;37.261;0.376;
120;41.048;0.381;
130;44.879;0.385;
140;48.747;0.389;
150;52.647;0.391;
160;56.570;0.393;
170;60.510;0.395;
180;64.458;0.395;
190;68.407;0.394;
200;72.346;0.393;
207;75.095;0.392;
