Travel;Anti-squat;
0;2.139;
10;2.137;
20;2.144;
30;2.158;
40;2.178;
50;2.203;
60;2.233;
70;2.266;
80;2.301;
90;2.336;
100;2.369;
110;2.398;
120;2.420;
130;2.432;
140;2.431;
150;2.411;
160;2.364;
170;2.281;
180;2.145;
190;1.926;
200;1.567;
207;1.164;
