Travel;Chain_Growth;
0;0.000;
10;1.927;
20;3.850;
30;5.772;
40;7.697;
50;9.628;
60;11.567;
70;13.515;
80;15.475;
90;17.446;
100;19.428;
110;21.421;
120;23.423;
130;25.431;
140;27.442;
150;29.450;
160;31.448;
170;33.427;
180;35.373;
190;37.266;
200;39.073;
207;40.255;
