Travel;Chain_Growth;
0;0.000;
10;1.937;
20;3.869;
30;5.801;
40;7.736;
50;9.676;
60;11.625;
70;13.583;
80;15.551;
90;17.532;
100;19.524;
110;21.526;
120;23.537;
130;25.554;
140;27.574;
150;29.591;
160;31.599;
170;33.587;
180;35.541;
190;37.443;
200;39.257;
207;40.445;
