Travel;Anti-squat;
0;1.644;
10;1.629;
20;1.617;
30;1.609;
40;1.603;
50;1.600;
60;1.598;
70;1.598;
80;1.598;
90;1.599;
100;1.598;
110;1.596;
120;1.591;
130;1.581;
140;1.565;
150;1.542;
160;1.507;
170;1.456;
180;1.383;
190;1.274;
200;1.107;
207;0.926;
