Travel;Axlepath_X;
0;0.000;
10;-1.583;
20;-2.941;
30;-4.080;
40;-5.005;
50;-5.721;
60;-6.229;
70;-6.535;
80;-6.637;
90;-6.539;
100;-6.240;
110;-5.738;
120;-5.031;
130;-4.116;
140;-2.988;
150;-1.639;
160;-0.060;
170;1.762;
180;3.845;
190;6.216;
200;8.917;
207;11.042;
