Travel;Pedal-kickback;
0;0.000;
10;0.816;
20;1.623;
30;2.425;
40;3.223;
50;4.021;
60;4.819;
70;5.619;
80;6.422;
90;7.228;
100;8.036;
110;8.845;
120;9.654;
130;10.459;
140;11.257;
150;12.043;
160;12.809;
170;13.546;
180;14.241;
190;14.874;
200;15.414;
207;15.707;
