Travel;Axle_Path_radius;
0;517.645;
10;511.228;
20;504.710;
30;498.117;
40;491.471;
50;484.789;
60;478.084;
70;471.359;
80;464.615;
90;457.842;
100;451.022;
110;444.128;
120;437.118;
130;429.937;
140;422.506;
150;414.715;
160;406.409;
170;397.361;
180;387.217;
190;375.392;
200;360.813;
207;347.834;
