Travel;Anti-rise;
0;1.176;
10;1.168;
20;1.160;
30;1.155;
40;1.150;
50;1.146;
60;1.144;
70;1.142;
80;1.142;
90;1.142;
100;1.143;
110;1.145;
120;1.148;
130;1.152;
140;1.158;
150;1.165;
160;1.174;
170;1.186;
180;1.203;
190;1.226;
200;1.262;
207;1.300;
