Travel;Frequency;
0;1.370;
10;1.417;
20;1.461;
30;1.504;
40;1.544;
50;1.583;
60;1.620;
70;1.654;
80;1.686;
90;1.716;
100;1.743;
110;1.767;
120;1.789;
130;1.808;
140;1.824;
150;1.837;
160;1.847;
170;1.853;
180;1.855;
190;1.853;
200;1.847;
207;1.842;
