Travel;Axle_Path_steepness;
0;99.699;
10;98.423;
20;97.174;
30;95.949;
40;94.745;
50;93.558;
60;92.386;
70;91.225;
80;90.071;
90;88.919;
100;87.765;
110;86.603;
120;85.428;
130;84.232;
140;83.009;
150;81.746;
160;80.431;
170;79.043;
180;77.552;
190;75.907;
200;74.005;
207;72.408;
